Name,Age,classification,Season,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,EFG%,3PAR,FTAR,NBA 3P%,AST/USG,AST/TO,OWS/40,DWS/40,ORTG,DRTG
Wendell Moore,20.75,College,,F,39.0,39.0,33.9,4.8,9.6,0.5,1.3,3.2,0.413,3.5,6.4,0.544,0.569,2.4,3.0,0.805,1.2,4.1,5.3,4.4,1.4,0.2,1.9,1.6,13.4,21.4,0.605,0.335,0.314,556.0,4.4,12.5,8.7,21.7,2.4,0.6,15.0,19.5,4.3,1.9,6.2,0.186,5.3,2.6,7.9,0.569,0.335,0.314,0.359,1.11,2.26,0.13,0.057,123.4,101.2
Patrick Baldwin Jr.,19.58,College,,G,11.0,10.0,28.5,4.1,11.9,0.344,1.5,5.8,0.266,2.5,6.1,0.418,0.408,2.4,3.2,0.743,0.9,4.9,5.8,1.5,0.8,0.8,2.1,1.5,12.1,13.9,0.45,0.489,0.267,127.0,3.7,17.9,11.2,12.0,1.7,3.2,13.5,28.3,0.0,0.4,0.4,0.046,-0.8,-1.0,-1.8,0.408,0.489,0.267,0.356,0.42,0.74,0.0,0.051,89.3,102.7
TyTy Washington,20.59,College,,G,31.0,29.0,29.2,4.9,10.9,0.451,1.2,3.3,0.35,3.7,7.5,0.496,0.504,1.5,2.1,0.75,0.6,2.8,3.5,3.9,1.3,0.2,1.6,1.5,12.5,19.3,0.528,0.306,0.19,391.0,2.6,10.7,6.8,22.7,2.6,0.7,12.2,22.5,2.4,1.5,3.9,0.171,4.1,3.3,7.4,0.504,0.306,0.19,0.35,1.01,2.35,0.106,0.066,114.8,98.4
Peyton Watson,19.77,College,,G,32.0,0.0,12.7,1.2,3.7,0.322,0.2,1.0,0.226,1.0,2.7,0.356,0.352,0.7,1.0,0.688,0.9,2.0,2.9,0.8,0.6,0.6,0.9,1.6,3.3,11.2,0.394,0.263,0.271,120.0,8.1,18.7,13.3,11.0,2.8,5.5,18.4,20.8,-0.2,0.9,0.8,0.074,-2.7,3.8,1.1,0.352,0.263,0.271,0.322,0.53,0.87,-0.02,0.089,85.6,91.6
Andrew Nembhard,22.42,College,,G,32.0,32.0,32.2,4.4,9.7,0.452,1.6,4.2,0.383,2.8,5.5,0.503,0.534,1.5,1.7,0.873,0.4,2.9,3.4,5.8,1.6,0.1,1.9,2.0,11.8,18.1,0.564,0.429,0.177,436.0,1.6,8.7,5.6,26.3,2.7,0.4,15.6,18.6,2.8,2.2,5.0,0.195,3.9,3.4,7.3,0.534,0.429,0.177,0.373,1.41,2.97,0.109,0.086,118.5,93.0
Caleb Houstan,19.44,College,,G,34.0,34.0,32.0,3.2,8.4,0.384,1.8,5.0,0.355,1.4,3.4,0.426,0.489,1.9,2.4,0.783,0.8,3.2,4.0,1.4,0.7,0.2,1.5,1.7,10.1,11.8,0.53,0.595,0.292,321.0,3.1,11.7,7.5,7.4,1.4,0.8,13.9,17.9,1.4,0.9,2.3,0.084,1.9,1.2,3.1,0.489,0.595,0.292,0.363,0.41,0.88,0.051,0.033,105.4,106.8
Christian Koloko,22.0,College,,C,37.0,37.0,25.4,4.9,7.8,0.635,0.0,0.1,0.0,4.9,7.7,0.642,0.635,2.7,3.7,0.735,2.6,4.7,7.3,1.4,0.8,2.8,1.6,2.8,12.6,28.0,0.661,0.01,0.472,437.0,12.1,18.0,15.4,9.8,1.6,10.3,14.3,20.7,3.4,2.4,5.9,0.25,5.2,5.3,10.5,0.635,0.01,0.472,0.322,0.47,0.86,0.145,0.102,127.3,88.6
Jaylin Williams,19.97,College,,F,37.0,35.0,31.6,3.8,8.3,0.461,0.5,1.9,0.239,3.4,6.4,0.527,0.489,2.8,3.8,0.729,1.5,8.3,9.8,2.6,1.3,1.1,1.8,2.6,10.9,18.9,0.538,0.231,0.455,417.0,5.3,29.3,17.2,15.3,2.3,4.0,15.2,18.2,1.9,3.0,4.9,0.167,2.7,5.2,7.9,0.489,0.231,0.455,0.327,0.84,1.42,0.065,0.102,108.9,89.3
Max Christie,19.35,College,,G,35.0,35.0,30.8,3.2,8.4,0.382,1.1,3.5,0.317,2.1,4.9,0.429,0.449,1.7,2.1,0.824,0.9,2.6,3.5,1.5,0.5,0.5,1.5,1.1,9.3,10.5,0.494,0.42,0.253,309.0,3.4,9.2,6.4,8.6,1.0,1.7,13.7,18.1,0.9,0.8,1.7,0.063,0.8,1.1,1.9,0.449,0.42,0.253,0.356,0.48,0.98,0.033,0.03,99.9,107.8
Kennedy Chandler,19.76,College,,G,34.0,34.0,30.8,5.4,11.5,0.464,1.4,3.8,0.383,3.9,7.8,0.504,0.527,1.8,2.9,0.606,0.7,2.6,3.2,4.7,2.2,0.2,2.5,2.0,13.9,20.2,0.539,0.327,0.253,479.0,2.5,9.7,6.0,32.3,4.1,0.9,16.2,25.0,2.2,2.4,4.6,0.176,4.2,4.8,9.0,0.527,0.327,0.253,0.335,1.29,1.89,0.084,0.092,107.8,92.1
