Name,Age,Season,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,ORtg,DRtg,Unnamed: 19,WS/48,FGM-FGA,3PM-3PA,FTM-FTA,REB,TO,True Shooting %TS%,Effective FG%EFG%,3PA Rate3PAR,FTA RateFTAR,Proj NBA 3P%NBA 3P%,AST/USG,AST/TO,OWS/40,DWS/40,ORTG,DRTG
Amari Bailey,19.33,2022-23,G,30.0,28.0,26.9,4.5,9.1,0.495,0.7,1.8,0.389,3.8,7.3,0.521,0.533,1.5,2.1,0.698,0.8,3.0,3.8,2.2,1.1,0.3,2.4,1.7,11.2,16.4,0.553,0.198,0.231,316.0,3.6,13.2,8.3,15.2,2.5,1.4,19.4,23.7,0.9,1.9,2.7,0.136,1.7,3.3,5.0,,,,,,,,,,,,,,,,,,,,
GG Jackson,18.5,2022-23,F,32.0,29.0,31.9,5.5,14.4,0.384,1.7,5.3,0.324,3.8,9.1,0.419,0.444,2.6,3.9,0.677,1.5,4.4,5.9,0.8,0.8,0.8,2.7,1.5,15.4,14.9,0.474,0.369,0.269,444.0,5.4,17.0,10.9,6.6,1.4,2.8,14.2,30.8,0.3,0.7,1.0,0.04,1.2,-1.3,-0.1,,,,,,,,,,,,,,,,,,,,
Seth Lundy,23.21,2022-23,F,36.0,36.0,31.7,4.6,10.2,0.45,2.6,6.4,0.4,2.0,3.8,0.533,0.575,2.4,3.0,0.807,0.9,5.3,6.3,0.9,0.8,0.6,0.9,2.2,14.2,21.1,0.609,0.627,0.297,456.0,3.7,19.3,11.9,5.4,1.5,2.0,6.9,22.3,3.3,1.5,4.8,0.168,6.4,1.3,7.7,,,,,,,,,,,,,,,,,,,,
Jordan Miller,23.4,2022-23,G,37.0,37.0,35.0,5.9,10.8,0.545,0.9,2.5,0.352,5.0,8.4,0.602,0.585,2.6,3.4,0.784,2.1,4.2,6.2,2.7,1.2,0.4,1.3,1.7,15.3,23.0,0.616,0.228,0.313,563.0,7.2,14.0,10.7,14.1,2.0,1.3,9.6,19.9,4.7,1.3,6.0,0.186,6.0,1.5,7.6,,,,,,,,,,,,,,,,,,,,
Emoni Bates,19.39,2022-23,F,30.0,29.0,33.8,6.4,15.9,0.405,2.5,7.7,0.33,3.9,8.2,0.474,0.484,3.8,4.9,0.782,0.7,5.1,5.8,1.4,0.7,0.5,2.5,2.3,19.2,18.6,0.528,0.482,0.308,527.0,2.3,18.1,10.0,9.2,1.2,1.8,12.2,31.1,1.6,0.2,1.8,0.07,2.3,-3.1,-0.7,,,,,,,,,,,,,,,,,,,,
Keyontae Johnson,23.07,2022-23,F,36.0,36.0,34.1,6.6,12.7,0.516,1.3,3.2,0.405,5.3,9.5,0.554,0.568,3.0,4.2,0.715,1.5,5.3,6.8,2.1,1.0,0.2,2.9,2.4,17.4,18.8,0.593,0.254,0.33,563.0,5.4,17.8,11.8,13.5,1.7,0.6,16.7,25.8,2.4,2.1,4.5,0.145,3.8,1.9,5.7,,,,,,,,,,,,,,,,,,,,
Jalen Wilson,22.62,2022-23,F,36.0,36.0,35.4,6.9,16.0,0.43,1.9,5.8,0.337,4.9,10.2,0.482,0.49,4.4,5.5,0.799,1.6,6.7,8.3,2.2,0.9,0.5,2.3,2.1,20.1,21.0,0.54,0.362,0.346,667.0,5.2,20.8,13.3,12.5,1.5,1.4,11.1,29.7,2.9,2.4,5.3,0.168,5.4,1.9,7.3,,,,,,,,,,,,,,,,,,,,
Toumani Camara,23.12,2022-23,F,34.0,34.0,30.0,5.2,9.6,0.546,0.9,2.4,0.363,4.4,7.2,0.606,0.59,2.6,3.9,0.669,2.3,6.3,8.6,1.7,1.2,0.8,2.1,2.6,13.9,25.0,0.609,0.245,0.408,446.0,10.2,23.2,17.3,13.4,2.6,3.2,15.4,24.8,2.8,2.7,5.5,0.216,4.0,3.1,7.1,,,,,,,,,,,,,,,,,,,,
Jaylen Clark,21.68,2022-23,G,30.0,29.0,30.5,4.9,10.3,0.481,0.9,2.6,0.329,4.1,7.6,0.533,0.523,2.2,3.2,0.698,1.9,4.1,6.0,1.9,2.6,0.3,1.2,2.1,13.0,23.4,0.55,0.256,0.312,375.0,7.4,16.1,11.7,11.4,5.1,1.1,9.5,21.7,2.4,2.7,5.1,0.223,5.2,6.7,11.9,,,,,,,,,,,,,,,,,,,,
Jalen Slawson,23.66,2022-23,F,36.0,36.0,30.7,5.4,9.6,0.556,1.1,2.9,0.394,4.2,6.8,0.626,0.615,3.7,4.8,0.775,1.8,5.3,7.1,3.2,1.5,1.5,2.6,2.8,15.6,26.8,0.654,0.3,0.499,560.0,6.9,20.2,13.6,19.9,2.9,5.3,17.8,24.0,3.9,2.2,6.1,0.22,4.8,2.8,7.6,,,,,,,,,,,,,,,,,,,,
Isaiah Wong,22.39,2022-23,G,37.0,37.0,33.4,5.2,11.6,0.445,1.6,4.3,0.384,3.5,7.4,0.482,0.516,4.1,4.9,0.845,1.1,3.3,4.3,3.2,1.4,0.4,2.1,1.8,16.2,21.3,0.578,0.369,0.42,591.0,3.9,11.5,7.8,17.1,2.4,1.2,13.0,24.3,3.8,1.3,5.1,0.165,4.8,1.3,6.1,,,,,,,,,,,,,,,,,,,,
Trayce Jackson-Davis,23.32,2022-23,F,32.0,32.0,34.5,8.2,14.1,0.581,0.0,0.0,,8.2,14.1,0.581,0.581,4.6,6.6,0.695,2.8,8.0,10.8,4.0,0.8,2.9,2.5,1.7,20.9,34.2,0.608,0.0,0.466,679.0,10.1,24.8,18.0,24.8,1.4,9.0,12.8,29.4,4.8,2.4,7.2,0.261,10.5,5.5,16.0,,,,,,,,,,,,,,,,,,,,
Chris Livingston,19.68,2022-23,F,34.0,26.0,22.4,2.3,5.4,0.429,0.5,1.7,0.305,1.8,3.7,0.488,0.478,1.1,1.6,0.722,1.1,3.1,4.2,0.7,0.4,0.4,0.9,1.7,6.3,12.1,0.513,0.321,0.293,204.0,5.7,16.2,10.8,5.5,1.2,1.7,12.9,15.7,0.9,1.0,1.9,0.1,1.0,1.6,2.6,,,,,,,,,,,,,,,,,,,,
