Name,classification,Age,pg::PTS,pg::AST,pg::TRB,pg::STL,pg::BLK,pg::TOV,pg::FG%,pg::3P%,pg::FT%,adv::PER,adv::TS%,adv::OBPM,adv::DBPM,adv::BPM,adv::OWS,adv::DWS,adv::WS/40,OverallScore,Upside01,UpsideScore,Comp1,Comp2,Comp3,pg01,adv01,age01,UpdatedOverall01,UpdatedOverall
Jason Preston,College,21.86,0.6093023255813953,0.8961038961038963,0.5943396226415095,0.7058823529411764,0.09090909090909094,0.6666666666666666,0.43478260869565233,0.39000000000000007,0.2156398104265402,0.5740740740740741,0.5565217391304345,0.5422535211267605,0.33766233766233766,0.5149253731343285,0.46774193548387094,0.2692307692307693,0.611336032388664,6.55,0.6738013423970165,6.74,Ben Simmons,LaMelo Ball,LeBron James,0.8796761776176603,0.5334301843542247,0.38878842676311065,0.6746141450358856,6.75
Miles McBride,College,20.78,0.6186046511627906,0.5714285714285715,0.27358490566037735,0.9411764705882353,0.09090909090909094,0.3333333333333333,0.17701863354037267,0.41400000000000003,0.729857819905213,0.5259259259259259,0.3869565217391305,0.6197183098591549,0.49350649350649356,0.6865671641791046,0.6612903225806451,0.3461538461538462,0.6234817813765183,6.5,0.0325267366942151,0.33,Mike Conley,Delon Wright,Delon Wright,0.760982859623993,0.6178231423148919,0.5840867992766727,0.5711472734491737,5.71
JT Thor,College,18.81,0.31627906976744186,0.06493506493506494,0.3773584905660377,0.2941176470588236,0.4242424242424243,0.2777777777777778,0.20496894409937888,0.297,0.5592417061611374,0.35925925925925933,0.4000000000000001,0.3309859154929577,0.38961038961038963,0.32835820895522394,0.3064516129032258,0.19230769230769235,0.3724696356275304,3.9,0.0328052135848543,0.33,Jaren Jackson Jr.,P.J. Washington,JaVale McGee,0.43039259851559103,0.33074028002140243,0.9403254972875229,0.36925282315614183,3.69
Ayo Dosunmu,College,21.42,0.813953488372093,0.6363636363636365,0.5,0.4705882352941177,0.060606060606060615,0.75,0.35403726708074534,0.39000000000000007,0.6587677725118484,0.5703703703703703,0.4826086956521735,0.6126760563380281,0.5064935064935064,0.6865671641791046,0.6451612903225805,0.576923076923077,0.6963562753036439,7.38,1.0,10.0,Paul George,LeBron James,Julius Randle,0.8985386779786284,0.6885247586221483,0.46835443037974667,0.8008449912569369,8.01
Neemias Queta,College,21.93,0.5720930232558139,0.2987012987012988,0.8584905660377358,0.4705882352941177,1.0,0.5,0.5745341614906835,0.0,0.4786729857819904,0.811111111111111,0.5956521739130433,0.528169014084507,1.0,0.8880597014925373,0.564516129032258,1.0,0.9311740890688261,8.35,0.0982108171112826,0.98,Rudy Gobert,Myles Turner,Nerlens Noel,0.8662981390737501,0.9474593501839271,0.3761301989150093,0.7278717112330935,7.28
Jared Butler,College,20.82,0.655813953488372,0.5714285714285715,0.21698113207547168,1.0,0.12121212121212123,0.611111111111111,0.3012422360248447,0.41600000000000004,0.6516587677725119,0.6074074074074074,0.6260869565217388,0.6971830985915491,0.6363636363636364,0.8507462686567164,0.6774193548387096,0.6153846153846154,0.8259109311740891,7.81,0.1258961053102449,1.26,Mike Conley,Jrue Holiday,LaMelo Ball,0.8552421079480452,0.816829507700424,0.5768535262206149,0.6960806672716013,6.96
Joe Wieskamp,College,21.82,0.5674418604651162,0.1688311688311689,0.5283018867924528,0.35294117647058826,0.09090909090909094,0.22222222222222218,0.36335403726708076,0.4620000000000001,0.40758293838862564,0.5222222222222221,0.6999999999999998,0.6830985915492958,0.35064935064935066,0.6716417910447763,0.5806451612903225,0.3461538461538462,0.5910931174089069,5.52,0.1567579867171036,1.57,De'Andre Hunter,Kelly Olynyk,Al Horford,0.5523582460595214,0.6304220766404939,0.39602169981916835,0.502670760450287,5.03
Isaiah Livers,College,22.89,0.4883720930232557,0.20779220779220783,0.4716981132075472,0.1764705882352941,0.21212121212121215,0.1388888888888889,0.2577639751552796,0.43100000000000005,0.8649289099526066,0.44074074074074077,0.652173913043478,0.6338028169014084,0.5714285714285715,0.7537313432835822,0.48387096774193544,0.3846153846153847,0.6518218623481783,5.62,0.1690848879185215,1.69,Al Horford,Alec Burks,Tobias Harris,0.572910007893147,0.6527502675993377,0.20253164556962044,0.5046810550935704,5.05
Greg Brown,College,19.8,0.3116279069767442,0.0,0.4905660377358491,0.1764705882352941,0.30303030303030304,0.4722222222222222,0.14285714285714282,0.33000000000000007,0.48104265402843593,0.2740740740740741,0.3478260869565218,0.1478873239436619,0.4545454545454546,0.16417910447761197,0.16129032258064518,0.3461538461538462,0.31578947368421056,3.38,0.2449309913358955,2.45,JaVale McGee,DeMarcus Cousins,DeMarcus Cousins,0.4171084558918189,0.24877335086887822,0.7613019891500904,0.35396934185375156,3.54
Kessler Edwards,College,21.86,0.6790697674418603,0.10389610389610393,0.5471698113207547,0.4117647058823529,0.36363636363636365,0.3333333333333333,0.36335403726708076,0.37800000000000006,0.8791469194312796,0.4888888888888889,0.6565217391304345,0.47887323943661964,0.2337662337662338,0.3955223880597015,0.5161290322580645,0.4230769230769231,0.54251012145749,5.9,0.0,0.0,Tobias Harris,P.J. Washington,John Collins,0.7623241786512974,0.5057248136745145,0.38878842676311065,0.5079174076857721,5.08
Dalano Banton,College,21.61,0.3255813953488371,0.4545454545454546,0.4622641509433963,0.4117647058823529,0.27272727272727276,0.5277777777777778,0.11490683229813657,0.247,0.3649289099526067,0.27777777777777785,0.17391304347826078,0.27464788732394363,0.49350649350649356,0.32835820895522394,0.20967741935483872,0.3076923076923077,0.2348178137651822,3.71,0.0,0.0,Thaddeus Young,Dennis Smith Jr.,Aaron Gordon,0.5065115459302293,0.2697915901097997,0.43399638336347224,0.32728004129530025,3.27
David Johnson,College,20.31,0.4651162790697674,0.36363636363636376,0.45283018867924524,0.4705882352941177,0.09090909090909094,0.7222222222222223,0.11490683229813657,0.386,0.46208530805687187,0.1777777777777778,0.2130434782608695,0.23943661971830982,0.35064935064935066,0.20895522388059704,0.17741935483870966,0.2692307692307693,0.19433198380566805,3.97,0.0,0.0,Aaron Gordon,Aaron Gordon,Dennis Schröder,0.6191053345981118,0.18805782875260757,0.669077757685353,0.3584426660636325,3.58
Sharife Cooper,College,20.02,0.8186046511627906,1.0,0.3113207547169811,0.4117647058823529,0.09090909090909094,1.0,0.05279503105590065,0.22800000000000004,0.7582938388625592,0.5296296296296296,0.27826086956521734,0.4929577464788732,0.05194805194805199,0.2985074626865672,0.3387096774193548,0.0,0.5627530364372471,5.68,0.5481666170843462,5.48,Trae Young,James Harden,John Wall,0.8687250276406244,0.3124877775422357,0.7215189873417724,0.5944424870694447,5.94
Marcus Zegarowski,College,22.88,0.613953488372093,0.5064935064935066,0.24528301886792456,0.5882352941176471,0.03030303030303032,0.41666666666666674,0.2795031055900622,0.42100000000000004,0.6658767772511849,0.4555555555555555,0.6304347826086953,0.5704225352112675,0.40259740259740256,0.582089552238806,0.5806451612903225,0.4230769230769231,0.5789473684210527,5.81,0.1233923767339092,1.23,Mike Conley,Bogdan Bogdanović,Derrick Rose,0.6770502282869851,0.5917278415422798,0.20433996383363517,0.5133855026277622,5.13
Luka Garza,College,22.48,1.0,0.1688311688311689,0.7264150943396226,0.23529411764705882,0.4848484848484849,0.25,0.5559006211180126,0.44000000000000006,0.48341232227488146,1.0,0.7173913043478258,1.0,0.33766233766233766,1.0,1.0,0.4230769230769231,1.0,8.38,0.5079965720715675,5.08,Anthony Davis,Joel Embiid,Christian Wood,0.8525758491113783,0.9793268198738289,0.2766726943942135,0.7946856540808984,7.95
Charles Bassey,College,20.64,0.6976744186046511,0.03896103896103901,1.0,0.05882352941176472,0.9393939393939396,0.4444444444444445,0.6708074534161491,0.305,0.6018957345971564,0.8925925925925927,0.817391304347826,0.6197183098591549,0.44155844155844154,0.6567164179104478,0.6451612903225805,0.6923076923076924,0.8866396761133605,8.28,0.0999671886688549,1.0,Rudy Gobert,Myles Turner,Clint Capela,0.9430121142834208,0.8303499531745205,0.6094032549728753,0.7324555779892767,7.32
Sandro Mamukelashvili,College,22.07,0.6930232558139534,0.36363636363636376,0.6226415094339622,0.4705882352941177,0.18181818181818182,0.75,0.1863354037267081,0.336,0.49526066350710896,0.4296296296296296,0.3043478260869565,0.5070422535211268,0.2597402597402597,0.4402985074626866,0.4032258064516129,0.3846153846153847,0.3724696356275304,5.42,0.4453364936047029,4.45,Paul George,Jaylen Brown,Pascal Siakam,0.759425455029387,0.4055884827013566,0.35081374321880665,0.5403374541847132,5.4
Aaron Wiggins,College,22.46,0.5534883720930232,0.27272727272727276,0.45283018867924524,0.4705882352941177,0.15151515151515155,0.3888888888888889,0.22360248447204975,0.35600000000000004,0.6327014218009479,0.41851851851851846,0.4130434782608696,0.5070422535211268,0.37662337662337664,0.5000000000000001,0.4516129032258064,0.5000000000000001,0.44534412955465585,5.1,0.1554195060983701,1.55,Kyle Anderson,Kelly Olynyk,Al Horford,0.6112686901992886,0.49042960080157466,0.2802893309222424,0.46239755438523894,4.62
Scottie Lewis,College,21.27,0.24651162790697673,0.14285714285714288,0.19811320754716982,0.7647058823529412,0.30303030303030304,0.3611111111111111,0.22049689440993792,0.31800000000000006,0.39810426540284366,0.21851851851851853,0.3478260869565218,0.2535211267605633,0.6883116883116883,0.41044776119402987,0.19354838709677422,0.2307692307692308,0.2793522267206478,3.71,0.0,0.0,De'Anthony Melton,Matisse Thybulle,James Johnson,0.4468613158605503,0.32258152878084295,0.49547920433996406,0.3298310004355195,3.3
Balša Koprivica,College,21.13,0.30232558139534876,0.05194805194805198,0.43396226415094336,0.0,0.4242424242424243,0.19444444444444442,0.6987577639751552,1.0,0.43601895734597146,0.6,0.7260869565217389,0.4295774647887323,0.4805194805194805,0.47761194029850756,0.3548387096774193,0.19230769230769235,0.6680161943319839,6.04,0.2119293049695901,2.12,Drew Eubanks,LaMarcus Aldridge,Chris Silva,0.7449904503888858,0.5390520570950361,0.5207956600361667,0.560237129471083,5.6
Jericho Sims,College,22.66,0.3069767441860464,0.03896103896103901,0.5849056603773585,0.23529411764705882,0.3333333333333334,0.2777777777777778,1.0,,0.03554502369668251,0.4851851851851851,0.8826086956521738,0.4154929577464788,0.5454545454545454,0.4925373134328359,0.3548387096774193,0.4230769230769231,0.5910931174089069,5.14,0.0,0.0,Mitchell Robinson,Jakob Poeltl,Nic Claxton,0.5339284176820615,0.5801390032747401,0.24412296564195324,0.4381188633289634,4.38
RaiQuan Gray,College,22.2,0.4325581395348837,0.23376623376623384,0.5094339622641509,0.5294117647058824,0.21212121212121215,0.4444444444444445,0.4440993788819877,0.26700000000000007,0.6113744075829384,0.5037037037037037,0.552173913043478,0.4225352112676056,0.5844155844155844,0.5298507462686568,0.3870967741935484,0.3846153846153847,0.5991902834008098,5.51,0.0,0.0,Kyle Anderson,Thaddeus Young,Kelly Olynyk,0.6415059513509203,0.5476049041555021,0.3273056057866188,0.4731920379637933,4.73
Joel Ayayi,College,21.29,0.4372093023255813,0.2987012987012988,0.5566037735849056,0.4705882352941177,0.060606060606060615,0.22222222222222218,0.6242236024844721,0.38900000000000007,0.6540284360189574,0.44444444444444453,0.9130434782608696,0.6197183098591549,0.5064935064935064,0.6940298507462687,0.6612903225806451,0.653846153846154,0.7206477732793523,6.68,0.0,0.0,Kelly Olynyk,Nicolas Batum,Kyle Anderson,0.67590404136866,0.7549467345922801,0.49186256781193527,0.5775575883030138,5.78
David Duke,College,21.68,0.6604651162790698,0.5714285714285715,0.5,0.5294117647058824,0.09090909090909094,0.7222222222222223,0.04037267080745343,0.38900000000000007,0.6800947867298579,0.3518518518518519,0.2304347826086956,0.40845070422535207,0.3246753246753247,0.3656716417910449,0.3870967741935484,0.3461538461538462,0.3441295546558705,5.3,0.3239125839221874,3.24,LaMelo Ball,Paul George,Lonzo Ball,0.7829238148378983,0.34739805670597046,0.4213381555153709,0.5129676454422629,5.13
Aaron Henry,College,21.8,0.5953488372093023,0.4155844155844156,0.43396226415094336,0.5882352941176471,0.393939393939394,0.6388888888888888,0.23291925465838514,0.29600000000000004,0.6090047393364929,0.42592592592592593,0.2869565217391304,0.4859154929577464,0.5454545454545454,0.5671641791044777,0.3548387096774193,0.3461538461538462,0.340080971659919,5.68,0.4070596695192429,4.07,Anthony Davis,Bam Adebayo,Thaddeus Young,0.7666564027772661,0.45044657696832047,0.39963833634719714,0.5575600903534019,5.58
Jay Huff,College,22.82,0.48372093023255813,0.07792207792207796,0.5754716981132075,0.11764705882352944,0.787878787878788,0.19444444444444442,0.65527950310559,0.38700000000000007,0.7867298578199051,0.8444444444444443,0.9521739130434783,0.647887323943662,0.7532467532467533,0.8656716417910448,0.564516129032258,0.46153846153846156,0.8987854251012148,7.58,0.0,0.0,Daniel Gafford,Chris Boucher,Myles Turner,0.7707027021375358,0.888788826237648,0.21518987341772167,0.6402418125921708,6.4
Matthew Hurt,College,21.16,0.7302325581395348,0.12987012987012989,0.4905660377358491,0.2941176470588236,0.21212121212121215,0.16666666666666663,0.565217391304348,0.44400000000000006,0.5189573459715638,0.6555555555555556,0.9043478260869565,0.7605633802816901,0.2987012987012987,0.7164179104477613,0.6774193548387096,0.19230769230769235,0.7449392712550608,6.39,0.0,0.0,Michael Porter Jr.,John Collins,Tobias Harris,0.6483807501664541,0.7140503185225532,0.5153707052441231,0.5538592095287214,5.54
AJ Lawson,College,20.93,0.6511627906976745,0.10389610389610393,0.29245283018867924,0.7058823529411764,0.03030303030303032,0.25,0.06211180124223606,0.35100000000000003,0.46208530805687187,0.3444444444444444,0.2869565217391304,0.4929577464788732,0.20779220779220783,0.3880597014925373,0.3387096774193548,0.07692307692307696,0.31983805668016196,3.65,0.0631282079240263,0.63,Terence Davis,Victor Oladipo,Norman Powell,0.4520666090905025,0.2972735320397955,0.5569620253164559,0.3379374230209042,3.38
John Petty,College,22.54,0.4651162790697674,0.19480519480519484,0.39622641509433965,0.5882352941176471,0.18181818181818182,0.3611111111111111,0.14285714285714282,0.37000000000000005,0.5426540284360188,0.2703703703703704,0.43913043478260877,0.38028169014084506,0.5844155844155844,0.4850746268656717,0.4032258064516129,0.6153846153846154,0.4615384615384615,4.79,0.0,0.0,De'Anthony Melton,Kyle Anderson,Danny Green,0.542761292583643,0.492819541220788,0.265822784810127,0.4104947114108389,4.1
Yves Pons,College,22.12,0.28372093023255807,0.03896103896103901,0.40566037735849053,0.23529411764705882,0.5454545454545455,0.11111111111111109,0.28571428571428586,0.274,0.6729857819905214,0.27777777777777785,0.36086956521739133,0.2676056338028168,0.6233766233766234,0.3880597014925373,0.2903225806451613,0.5000000000000001,0.45344129554655876,4.0,0.1268093782544189,1.27,Marc Gasol,Brook Lopez,Chris Boucher,0.439006387206845,0.41177498932579865,0.3417721518987342,0.3686589252337057,3.69
