NBA_Player,Cluster,DistToCentroid,ArchetypeName
Dmytro Skapintsev,4,6.330947419295005,4
Jalen Slawson,3,4.2716628183307925,3
Javonte Smart,2,4.172969670852721,2
Marcus Smart,6,4.346353006194507,6
Dennis Smith Jr.,7,2.7100075330820186,7
Dru Smith,7,2.9688971737909036,7
Ish Smith,5,3.6757886633051466,5
Jalen Smith,3,2.836726800561897,3
Jabari Smith Jr.,1,2.6404238339609747,1
Nick Smith Jr.,2,2.4773020954970155,2
Terquavion Smith,7,4.385038327494135,7
Jeremy Sochan,7,2.3972960857508943,7
Pat Spencer,5,4.076938161268383,5
Jaden Springer,5,2.8595346832129533,5
Jaden Springer,5,2.72562915065585,5
Jaden Springer,5,3.8519737203702666,5
Lamar Stevens,7,2.3264333938530646,7
Lamar Stevens,3,2.634107306537259,3
Lamar Stevens,7,2.649607387307339,7
Isaiah Stewart,7,2.7761177115880074,7
Julian Strawther,5,1.5351005394997768,5
Max Strus,7,1.6401199816932341,7
Jalen Suggs,7,2.398923322797783,7
Cole Swider,2,3.1740557441158255,2
Jae'Sean Tate,2,2.12432351114468,2
Jayson Tatum,6,2.493669463826624,6
Terry Taylor,2,2.017408339148233,2
Garrett Temple,5,1.655415961303761,5
Dalen Terry,5,2.445977307298788,5
Daniel Theis,3,1.8454162139107182,3
Daniel Theis,4,4.4153636124912,4
Daniel Theis,3,1.849409164705901,3
Cam Thomas,6,3.0011837184477588,6
Isaiah Thomas,5,4.830025511349403,5
Amen Thompson,1,3.3265086238761223,1
Ausar Thompson,1,3.0364750648341707,1
Klay Thompson,7,2.6857949048198564,7
Tristan Thompson,3,3.320396806896623,3
JT Thor,2,2.593269075749637,2
Matisse Thybulle,7,3.8646667710293774,7
Xavier Tillman Sr.,7,3.4606945132317617,7
Xavier Tillman Sr.,7,4.153283213104858,7
Xavier Tillman Sr.,3,2.155672742856617,3
