Name,Age,classification,Season,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,True Shooting %TS%,EFG%,3PAR,FTAR,NBA 3P%,AST/USG,AST/TO,OWS/40,DWS/40,ORTG,DRTG,Unnamed: 19,WS/48
Alexandre Sarr,19.15,International,,F,30.0,,18.0,3.6,7.1,0.5,0.5,1.9,0.276,,,,,1.9,2.7,0.707,,,4.5,1.0,0.4,1.5,1.0,1.4,9.6,20.96,,,,,,,,,,,,21.9,,,,,,,,0.569,0.537,0.271,0.383,0.335,0.43,1.0,,,116.0,107.9,,
Tidjane Salaun,18.86,International,,F,54.0,,23.4,3.4,8.3,0.406,1.4,4.4,0.316,,,,,1.6,2.2,0.748,,,3.9,0.9,1.1,0.2,1.3,2.4,9.7,13.07,,,,,,,,,,,,21.28,,,,,,,,0.523,0.49,0.531,0.267,0.361,0.32,0.7,,,105.0,110.0,,
Nikola Topić,18.86,International,,G,23.0,,27.8,5.3,10.6,0.498,1.1,3.7,0.306,,,,,2.8,3.2,0.878,,,3.2,5.5,1.0,0.1,2.3,3.0,14.5,19.85,,,,,,,,,,,,23.92,,,,,,,,0.599,0.551,0.35,0.305,0.366,1.44,2.4,,,121.4,107.9,,
AJ Johnson,19.55,International,,G,29.0,,8.2,1.1,3.2,0.355,0.3,1.2,0.278,,,,,0.2,0.4,0.538,,,1.2,0.8,0.2,0.1,0.7,0.9,2.9,7.08,,,,,,,,,,,,21.16,,,,,,,,0.418,0.409,0.387,0.14,,0.66,1.15,,,85.8,112.2,,
Pacome Dadiet,18.9,International,,G,59.0,,15.3,2.4,4.7,0.502,0.8,2.3,0.358,,,,,1.0,1.4,0.744,,,2.3,0.6,0.5,0.1,0.8,1.5,6.6,14.31,,,,,,,,,,,,18.48,,,,,,,,0.613,0.59,0.491,0.294,0.358,0.34,0.71,,,115.9,110.7,,
Juan Núñez,20.04,International,,G,54.0,,23.1,3.7,7.9,0.47,0.8,2.6,0.319,,,,,1.6,2.7,0.607,,,3.4,4.9,1.7,0.0,2.3,1.9,9.9,17.31,,,,,,,,,,,,22.6,,,,,,,,0.537,0.521,0.322,0.339,0.326,1.53,2.14,,,108.5,106.2,,
Bobi Klintman,21.29,International,,F,26.0,,21.6,3.3,7.6,0.434,1.2,3.5,0.337,,,,,2.3,2.9,0.813,,,4.7,0.9,1.0,0.5,1.7,2.7,10.2,13.86,,,,,,,,,,,,20.84,,,,,,,,0.565,0.513,0.465,0.379,0.367,0.32,0.53,,,103.2,108.4,,
Nikola Djurisic,20.32,International,,G,36.0,,29.9,4.9,10.9,0.444,1.1,3.6,0.305,,,,,3.9,5.2,0.763,,,2.8,3.4,1.2,0.4,3.2,2.9,14.8,13.67,,,,,,,,,,,,25.36,,,,,,,,0.551,0.495,0.332,0.472,0.348,0.74,1.07,,,102.4,112.7,,
Melvin Ajinca,19.98,International,,G,35.0,,24.8,3.3,8.2,0.399,2.0,5.6,0.357,,,,,1.6,2.0,0.814,,,3.5,0.7,0.5,0.1,0.7,2.3,10.2,12.64,,,,,,,,,,,,19.25,,,,,,,,0.556,0.521,0.681,0.243,0.383,0.28,1.0,,,114.5,107.4,,
Ulrich Chomche,18.47,International,,F,3.0,,30.0,4.7,11.0,0.424,2.7,7.0,0.381,,,,,1.0,1.3,0.75,,,9.0,3.3,1.3,2.7,5.0,1.0,13.0,20.53,,,,,,,,,,,,23.36,,,,,,,,0.559,0.545,0.636,0.121,,0.81,0.67,,,89.8,75.9,,
Ariel Hukporti,22.19,International,,C,43.0,,17.7,3.1,5.5,0.563,0.0,0.0,,,,,,1.7,2.8,0.617,,,7.1,0.7,0.5,1.5,1.7,2.5,8.0,19.58,,,,,,,,,,,,20.34,,,,,,,,0.58,0.563,0.0,0.504,0.306,0.31,0.45,,,110.0,100.6,,
Trentyn Flowers,19.28,International,,G,21.0,,14.4,2.0,4.5,0.436,0.5,1.3,0.357,,,,,1.1,1.8,0.649,,,3.1,0.6,0.2,0.1,1.5,1.5,5.5,8.36,,,,,,,,,,,,19.87,,,,,,,,0.52,0.489,0.298,0.394,0.332,0.35,0.42,,,89.7,115.2,,
Ousmane N'Diaye,20.25,International,,F,13.0,,17.6,1.8,4.1,0.434,0.7,2.6,0.265,,,,,0.8,1.0,0.769,,,4.1,0.2,0.4,0.5,0.9,0.7,5.0,11.36,,,,,,,,,,,,14.89,,,,,,,,0.549,0.519,0.642,0.245,,0.11,0.17,,,103.2,120.0,,
Mantas Rubstavicius,22.12,International,,G,25.0,,19.7,3.0,5.9,0.517,1.2,2.9,0.425,,,,,2.0,2.5,0.823,,,2.1,1.2,0.8,0.1,1.1,2.7,9.4,15.28,,,,,,,,,,,,18.47,,,,,,,,0.663,0.622,0.497,0.422,0.375,0.5,1.07,,,123.6,112.6,,
